iter	Passed	Remaining
0	19	3956
1	41	4062
2	60	3942
3	78	3848
4	97	3816
5	116	3771
6	136	3754
7	155	3727
8	174	3695
9	193	3671
10	212	3654
11	231	3629
12	250	3604
13	269	3582
14	288	3563
15	307	3539
16	327	3520
17	346	3500
18	365	3481
19	383	3453
20	403	3435
21	421	3414
22	440	3393
23	461	3380
24	480	3366
25	502	3360
26	522	3348
27	541	3326
28	560	3305
29	579	3286
30	599	3265
31	617	3243
32	636	3222
33	656	3202
34	675	3184
35	694	3165
36	714	3145
37	733	3126
38	753	3109
39	773	3092
40	792	3072
41	812	3054
42	831	3037
43	852	3023
44	872	3004
45	895	2997
46	915	2979
47	935	2960
48	953	2939
49	973	2920
50	993	2902
51	1013	2884
52	1032	2864
53	1052	2844
54	1070	2822
55	1089	2802
56	1108	2781
57	1129	2765
58	1148	2745
59	1168	2726
60	1187	2705
61	1206	2685
62	1225	2664
63	1244	2645
64	1264	2625
65	1283	2605
66	1302	2585
67	1321	2564
68	1340	2544
69	1359	2525
70	1380	2508
71	1401	2491
72	1421	2472
73	1440	2453
74	1460	2434
75	1480	2414
76	1497	2392
77	1517	2373
78	1536	2353
79	1556	2334
80	1575	2315
81	1595	2296
82	1614	2276
83	1634	2256
84	1653	2236
85	1672	2216
86	1691	2197
87	1710	2177
88	1729	2156
89	1748	2136
90	1769	2119
91	1789	2100
92	1808	2080
93	1827	2060
94	1847	2041
95	1865	2020
96	1884	2001
97	1904	1982
98	1923	1962
99	1943	1943
100	1962	1923
101	1982	1904
102	2002	1885
103	2021	1865
104	2041	1846
105	2060	1827
106	2080	1808
107	2101	1790
108	2125	1774
109	2145	1755
110	2166	1736
111	2187	1718
112	2206	1698
113	2225	1679
114	2244	1659
115	2264	1639
116	2283	1620
117	2303	1600
118	2323	1581
119	2343	1562
120	2364	1543
121	2383	1524
122	2404	1505
123	2423	1485
124	2442	1465
125	2461	1445
126	2481	1426
127	2500	1406
128	2519	1386
129	2538	1366
130	2557	1347
131	2576	1327
132	2596	1308
133	2616	1288
134	2635	1269
135	2655	1249
136	2674	1229
137	2693	1210
138	2713	1190
139	2732	1171
140	2752	1151
141	2771	1132
142	2791	1112
143	2811	1093
144	2831	1073
145	2851	1054
146	2871	1035
147	2895	1017
148	2915	998
149	2936	978
150	2955	959
151	2974	939
152	2992	919
153	3012	899
154	3030	879
155	3050	860
156	3070	840
157	3090	821
158	3110	802
159	3129	782
160	3148	762
161	3167	743
162	3186	723
163	3205	703
164	3224	684
165	3244	664
166	3264	645
167	3285	625
168	3304	606
169	3323	586
170	3343	566
171	3362	547
172	3381	527
173	3401	508
174	3420	488
175	3438	468
176	3457	449
177	3476	429
178	3496	410
179	3515	390
180	3534	370
181	3552	351
182	3571	331
183	3590	312
184	3609	292
185	3628	273
186	3648	253
187	3667	234
188	3687	214
189	3706	195
190	3725	175
191	3744	156
192	3763	136
193	3783	117
194	3805	97
195	3825	78
196	3844	58
197	3863	39
198	3882	19
199	3901	0
