iter	Passed	Remaining
0	17	3401
1	33	3342
2	49	3270
3	66	3234
4	81	3183
5	98	3190
6	115	3196
7	132	3189
8	149	3182
9	166	3168
10	183	3152
11	200	3144
12	214	3090
13	231	3080
14	249	3077
15	267	3080
16	286	3080
17	303	3070
18	321	3058
19	338	3046
20	355	3033
21	372	3016
22	389	3001
23	406	2984
24	423	2966
25	440	2946
26	457	2928
27	473	2911
28	490	2893
29	507	2875
30	524	2859
31	541	2843
32	559	2829
33	576	2815
34	593	2800
35	611	2783
36	628	2768
37	645	2753
38	662	2734
39	679	2717
40	696	2699
41	713	2683
42	730	2665
43	747	2648
44	763	2631
45	780	2614
46	798	2597
47	815	2581
48	832	2565
49	850	2551
50	867	2535
51	885	2521
52	903	2506
53	921	2491
54	938	2474
55	955	2456
56	971	2438
57	988	2421
58	1005	2403
59	1023	2387
60	1040	2371
61	1058	2356
62	1076	2340
63	1094	2325
64	1112	2309
65	1129	2293
66	1147	2277
67	1164	2260
68	1181	2243
69	1199	2227
70	1216	2210
71	1233	2193
72	1251	2177
73	1268	2160
74	1285	2142
75	1302	2125
76	1320	2108
77	1337	2091
78	1354	2074
79	1371	2056
80	1388	2039
81	1405	2022
82	1422	2005
83	1439	1988
84	1456	1970
85	1474	1954
86	1491	1937
87	1509	1920
88	1526	1904
89	1544	1887
90	1562	1871
91	1579	1854
92	1596	1836
93	1613	1819
94	1630	1802
95	1647	1785
96	1665	1768
97	1682	1750
98	1698	1733
99	1715	1715
100	1732	1698
101	1749	1681
102	1767	1664
103	1784	1647
104	1801	1630
105	1819	1613
106	1836	1596
107	1853	1578
108	1870	1561
109	1887	1544
110	1904	1526
111	1921	1509
112	1938	1492
113	1955	1475
114	1973	1458
115	1991	1441
116	2008	1424
117	2026	1408
118	2044	1391
119	2061	1374
120	2078	1356
121	2095	1339
122	2113	1322
123	2130	1305
124	2147	1288
125	2165	1271
126	2182	1254
127	2199	1236
128	2215	1219
129	2232	1201
130	2248	1184
131	2266	1167
132	2284	1150
133	2302	1133
134	2320	1117
135	2338	1100
136	2355	1083
137	2373	1066
138	2390	1049
139	2408	1032
140	2425	1015
141	2444	998
142	2462	981
143	2480	964
144	2497	947
145	2516	930
146	2534	913
147	2553	897
148	2571	880
149	2589	863
150	2608	846
151	2628	830
152	2646	813
153	2664	796
154	2682	778
155	2700	761
156	2717	744
157	2735	727
158	2752	709
159	2769	692
160	2786	675
161	2804	657
162	2821	640
163	2837	622
164	2854	605
165	2871	588
166	2888	570
167	2905	553
168	2923	536
169	2941	519
170	2958	501
171	2975	484
172	2992	467
173	3009	449
174	3027	432
175	3044	415
176	3062	397
177	3079	380
178	3097	363
179	3114	346
180	3131	328
181	3149	311
182	3166	294
183	3183	276
184	3200	259
185	3217	242
186	3234	224
187	3251	207
188	3268	190
189	3285	172
190	3303	155
191	3321	138
192	3340	121
193	3359	103
194	3378	86
195	3398	69
196	3417	52
197	3436	34
198	3454	17
199	3472	0
