iter	RMSE
0	1116.149543
1	1115.962025
2	1115.81463
3	1115.740742
4	1115.303681
5	1115.053155
6	1115.038914
7	1114.907731
8	1114.897564
9	1114.828397
10	1114.818049
11	1114.815099
12	1114.813006
13	1114.812612
14	1114.793682
15	1114.791334
16	1114.676928
17	1114.674316
18	1114.663784
19	1114.662161
20	1114.599454
21	1114.597946
22	1114.588329
23	1114.586938
24	1114.575785
25	1114.561611
26	1114.556047
27	1114.550973
28	1114.539583
29	1114.538958
30	1114.537935
31	1114.536088
32	1114.535437
33	1114.529901
34	1114.528212
35	1114.526762
36	1114.500429
37	1114.499532
38	1114.497419
39	1114.496956
40	1114.495782
41	1114.489506
42	1114.477193
43	1114.459843
44	1114.452412
45	1114.442532
46	1114.433786
47	1114.396379
48	1114.387735
49	1114.384318
50	1114.360462
51	1114.348866
52	1114.344547
53	1114.337762
54	1114.323961
55	1114.306288
56	1114.296257
57	1114.289645
58	1114.280048
59	1114.264927
60	1114.257535
61	1114.252306
62	1114.248649
63	1114.242733
64	1114.234639
65	1114.229865
66	1114.224874
67	1114.217587
68	1114.214015
69	1114.209627
70	1114.202313
71	1114.198053
72	1114.195418
73	1114.191349
74	1114.184698
75	1114.182228
76	1114.178623
77	1114.173419
78	1114.170306
79	1114.161198
80	1114.159489
81	1114.155298
82	1114.147095
83	1114.144751
84	1114.140498
85	1114.138309
86	1114.134565
87	1114.131926
88	1114.129472
89	1114.126101
90	1114.121961
91	1114.120509
92	1114.115655
93	1114.114697
94	1114.11246
95	1114.111892
96	1114.108262
97	1114.107624
98	1114.105752
99	1114.105428
100	1114.103975
101	1114.102642
102	1114.099127
103	1114.098445
104	1114.094876
105	1114.092469
106	1114.090374
107	1114.089053
108	1114.087524
109	1114.086609
110	1114.08546
111	1114.084715
112	1114.08285
113	1114.081842
114	1114.079312
115	1114.078267
116	1114.076663
117	1114.072155
118	1114.070325
119	1114.069959
120	1114.069214
121	1114.067971
122	1114.067319
123	1114.065521
124	1114.065366
125	1114.064208
126	1114.063544
127	1114.062849
128	1114.06252
129	1114.061298
130	1114.060895
131	1114.060736
132	1114.060655
133	1114.059631
134	1114.059314
135	1114.058089
136	1114.05728
137	1114.056957
138	1114.055579
139	1114.054781
140	1114.052836
141	1114.051156
142	1114.051005
143	1114.050342
144	1114.0481
145	1114.046759
146	1114.045048
147	1114.044528
148	1114.044417
149	1114.043518
150	1114.042221
151	1114.04209
152	1114.041436
153	1114.040983
154	1114.04081
155	1114.039777
156	1114.038838
157	1114.038628
158	1114.036891
159	1114.036769
160	1114.035915
161	1114.035268
162	1114.035154
163	1114.035099
164	1114.034594
165	1114.034543
166	1114.034367
167	1114.033859
168	1114.033588
169	1114.032678
170	1114.031914
171	1114.031694
172	1114.031141
173	1114.0306
174	1114.030516
175	1114.030384
176	1114.02991
177	1114.02963
178	1114.029469
179	1114.028811
180	1114.028221
181	1114.028075
182	1114.027909
183	1114.027213
184	1114.027037
185	1114.026428
186	1114.025941
187	1114.02588
188	1114.025798
189	1114.025484
190	1114.025038
191	1114.025003
192	1114.024521
193	1114.02428
194	1114.024235
195	1114.02387
196	1114.023566
197	1114.022949
198	1114.022822
199	1114.022807
