iter	Passed	Remaining
0	12	2554
1	28	2798
2	40	2686
3	51	2540
4	62	2433
5	75	2426
6	92	2544
7	106	2556
8	123	2616
9	139	2651
10	155	2679
11	174	2732
12	186	2685
13	201	2676
14	211	2606
15	227	2617
16	238	2565
17	252	2556
18	265	2529
19	277	2494
20	289	2470
21	302	2448
22	320	2463
23	329	2413
24	339	2379
25	354	2373
26	365	2340
27	379	2333
28	392	2312
29	406	2304
30	423	2306
31	431	2266
32	444	2248
33	458	2238
34	471	2222
35	488	2223
36	500	2205
37	513	2187
38	523	2160
39	531	2126
40	542	2101
41	558	2100
42	574	2098
43	589	2088
44	603	2079
45	618	2070
46	630	2053
47	647	2051
48	664	2048
49	677	2031
50	693	2025
51	705	2007
52	720	1997
53	730	1974
54	741	1954
55	759	1951
56	774	1942
57	789	1933
58	805	1924
59	817	1907
60	834	1901
61	851	1894
62	863	1878
63	880	1871
64	897	1864
65	914	1856
66	924	1835
67	942	1829
68	959	1821
69	971	1804
70	988	1795
71	1005	1787
72	1021	1777
73	1038	1768
74	1055	1758
75	1071	1748
76	1088	1738
77	1105	1728
78	1121	1717
79	1138	1707
80	1154	1695
81	1170	1684
82	1186	1673
83	1203	1662
84	1220	1651
85	1237	1640
86	1254	1629
87	1271	1618
88	1288	1607
89	1306	1596
90	1323	1584
91	1340	1573
92	1356	1561
93	1373	1549
94	1390	1536
95	1407	1524
96	1424	1512
97	1442	1500
98	1459	1489
99	1477	1477
100	1494	1464
101	1511	1451
102	1528	1439
103	1545	1426
104	1563	1414
105	1580	1401
106	1597	1388
107	1614	1375
108	1630	1361
109	1647	1348
110	1664	1334
111	1681	1321
112	1698	1307
113	1716	1294
114	1732	1280
115	1749	1266
116	1766	1253
117	1783	1239
118	1800	1225
119	1817	1211
120	1834	1197
121	1851	1183
122	1868	1169
123	1886	1156
124	1904	1142
125	1921	1128
126	1939	1114
127	1957	1100
128	1974	1086
129	1993	1073
130	2010	1059
131	2027	1044
132	2044	1030
133	2061	1015
134	2078	1000
135	2094	985
136	2111	971
137	2128	956
138	2145	941
139	2163	927
140	2179	912
141	2197	897
142	2214	882
143	2231	867
144	2248	852
145	2265	837
146	2281	822
147	2298	807
148	2314	792
149	2331	777
150	2348	761
151	2364	746
152	2381	731
153	2398	716
154	2415	701
155	2431	685
156	2448	670
157	2465	655
158	2482	640
159	2498	624
160	2515	609
161	2532	594
162	2549	578
163	2565	563
164	2582	547
165	2599	532
166	2616	517
167	2633	501
168	2651	486
169	2669	471
170	2686	455
171	2703	440
172	2720	424
173	2738	409
174	2754	393
175	2772	378
176	2791	362
177	2808	347
178	2826	331
179	2843	315
180	2860	300
181	2877	284
182	2894	268
183	2912	253
184	2929	237
185	2946	221
186	2963	206
187	2980	190
188	2996	174
189	3013	158
190	3030	142
191	3046	126
192	3063	111
193	3080	95
194	3098	79
195	3115	63
196	3132	47
197	3150	31
198	3166	15
199	3183	0
