iter	RMSE
0	1116.316075
1	1116.240469
2	1116.115444
3	1116.095992
4	1116.073836
5	1116.039511
6	1116.028355
7	1116.012272
8	1115.546532
9	1115.064834
10	1115.060874
11	1114.927022
12	1114.66941
13	1114.666616
14	1114.375778
15	1114.353267
16	1114.348513
17	1114.34851
18	1114.340563
19	1114.331311
20	1114.331146
21	1114.331145
22	1114.323815
23	1114.323284
24	1114.287169
25	1114.286705
26	1114.286416
27	1114.271231
28	1114.270678
29	1114.100124
30	1114.094774
31	1114.090433
32	1114.084201
33	1114.083143
34	1114.063912
35	1114.062951
36	1114.057538
37	1114.045455
38	1114.037936
39	1113.949503
40	1113.948321
41	1113.946303
42	1113.938206
43	1113.928403
44	1113.912048
45	1113.801796
46	1113.690135
47	1113.663396
48	1113.636608
49	1113.58396
50	1113.55101
51	1113.517715
52	1113.462735
53	1113.416578
54	1113.409192
55	1113.37454
56	1113.349268
57	1113.333679
58	1113.309992
59	1113.294131
60	1113.275193
61	1113.248279
62	1113.244143
63	1113.225574
64	1113.22293
65	1113.212731
66	1113.205774
67	1113.139814
68	1113.131379
69	1113.113471
70	1113.098641
71	1113.093984
72	1113.076557
73	1113.073659
74	1113.059559
75	1113.05844
76	1113.057052
77	1113.044997
78	1113.038192
79	1113.026124
80	1112.997631
81	1112.986701
82	1112.976976
83	1112.970433
84	1112.946977
85	1112.933398
86	1112.919187
87	1112.913935
88	1112.908074
89	1112.902584
90	1112.893686
91	1112.889599
92	1112.882772
93	1112.875422
94	1112.868152
95	1112.865549
96	1112.864447
97	1112.857168
98	1112.847013
99	1112.842321
100	1112.835987
101	1112.835149
102	1112.824884
103	1112.812255
104	1112.808177
105	1112.80776
106	1112.800911
107	1112.796838
108	1112.794009
109	1112.79201
110	1112.752918
111	1112.748227
112	1112.74342
113	1112.741956
114	1112.738371
115	1112.735241
116	1112.73115
117	1112.727322
118	1112.719695
119	1112.7134
120	1112.705196
121	1112.684418
122	1112.683237
123	1112.67642
124	1112.675522
125	1112.672968
126	1112.672427
127	1112.664196
128	1112.662063
129	1112.660469
130	1112.657207
131	1112.655555
132	1112.651288
133	1112.648794
134	1112.647362
135	1112.642808
136	1112.629497
137	1112.628056
138	1112.626083
139	1112.625275
140	1112.621563
141	1112.619126
142	1112.614006
143	1112.612865
144	1112.610451
145	1112.606923
146	1112.60571
147	1112.603452
148	1112.600757
149	1112.59312
150	1112.592909
151	1112.590455
152	1112.589726
153	1112.58884
154	1112.575499
155	1112.57359
156	1112.57208
157	1112.568236
158	1112.567559
159	1112.565646
160	1112.564382
161	1112.562906
162	1112.561027
163	1112.557175
164	1112.556512
165	1112.555073
166	1112.554604
167	1112.552894
168	1112.552264
169	1112.549163
170	1112.545216
171	1112.543889
172	1112.543662
173	1112.541452
174	1112.540859
175	1112.538622
176	1112.536958
177	1112.532817
178	1112.531095
179	1112.528872
180	1112.527798
181	1112.527577
182	1112.52728
183	1112.525965
184	1112.525615
185	1112.524294
186	1112.522724
187	1112.522627
188	1112.522304
189	1112.514464
190	1112.512165
191	1112.50951
192	1112.507063
193	1112.505218
194	1112.504976
195	1112.503258
196	1112.502394
197	1112.501262
198	1112.500737
199	1112.499969
