iter	Passed	Remaining
0	19	3863
1	33	3335
2	52	3462
3	63	3111
4	81	3164
5	99	3210
6	112	3106
7	130	3134
8	148	3162
9	166	3167
10	180	3102
11	199	3118
12	218	3139
13	236	3144
14	255	3148
15	274	3154
16	291	3134
17	301	3044
18	318	3034
19	338	3049
20	350	2988
21	360	2914
22	376	2896
23	388	2845
24	406	2846
25	419	2810
26	434	2782
27	452	2781
28	466	2751
29	485	2748
30	503	2744
31	522	2741
32	540	2735
33	556	2715
34	576	2718
35	596	2716
36	615	2710
37	633	2701
38	649	2682
39	668	2672
40	686	2661
41	704	2651
42	723	2641
43	742	2632
44	761	2624
45	783	2623
46	792	2579
47	813	2576
48	836	2577
49	860	2581
50	881	2576
51	903	2572
52	923	2561
53	942	2548
54	962	2536
55	981	2524
56	1001	2512
57	1021	2499
58	1040	2487
59	1060	2473
60	1079	2460
61	1098	2445
62	1118	2431
63	1137	2416
64	1155	2400
65	1174	2384
66	1193	2368
67	1212	2353
68	1231	2337
69	1250	2322
70	1270	2307
71	1289	2292
72	1310	2279
73	1329	2263
74	1348	2247
75	1368	2233
76	1388	2217
77	1407	2201
78	1425	2184
79	1444	2166
80	1464	2151
81	1484	2136
82	1504	2120
83	1523	2103
84	1542	2087
85	1562	2070
86	1580	2053
87	1599	2035
88	1618	2018
89	1637	2001
90	1656	1983
91	1675	1967
92	1695	1950
93	1714	1933
94	1734	1916
95	1753	1899
96	1772	1881
97	1791	1864
98	1810	1846
99	1829	1829
100	1848	1812
101	1867	1794
102	1887	1777
103	1906	1759
104	1925	1742
105	1944	1724
106	1963	1706
107	1982	1688
108	2001	1670
109	2020	1653
110	2039	1635
111	2058	1617
112	2078	1599
113	2097	1582
114	2116	1564
115	2135	1546
116	2154	1528
117	2174	1510
118	2193	1493
119	2213	1475
120	2232	1457
121	2250	1439
122	2270	1421
123	2289	1403
124	2308	1384
125	2327	1366
126	2346	1348
127	2365	1330
128	2384	1312
129	2404	1294
130	2423	1276
131	2442	1258
132	2461	1239
133	2480	1221
134	2498	1203
135	2518	1185
136	2537	1166
137	2556	1148
138	2575	1130
139	2594	1112
140	2614	1093
141	2633	1075
142	2651	1057
143	2671	1038
144	2690	1020
145	2708	1001
146	2727	983
147	2747	965
148	2766	946
149	2786	928
150	2805	910
151	2824	891
152	2842	873
153	2861	854
154	2880	836
155	2899	817
156	2918	799
157	2937	780
158	2956	762
159	2975	743
160	2995	725
161	3015	707
162	3035	688
163	3054	670
164	3073	651
165	3093	633
166	3113	615
167	3132	596
168	3151	578
169	3170	559
170	3189	540
171	3208	522
172	3227	503
173	3247	485
174	3266	466
175	3285	447
176	3304	429
177	3318	410
178	3338	391
179	3358	373
180	3377	354
181	3396	335
182	3415	317
183	3434	298
184	3452	279
185	3471	261
186	3491	242
187	3509	224
188	3529	205
189	3548	186
190	3568	168
191	3588	149
192	3607	130
193	3626	112
194	3646	93
195	3665	74
196	3684	56
197	3703	37
198	3722	18
199	3741	0
