iter	RMSE
0	1095.985994
1	1084.554173
2	1078.243288
3	1074.805838
4	1072.902188
5	1071.947885
6	1071.349149
7	1071.101284
8	1070.883278
9	1070.786304
10	1070.703086
11	1070.661895
12	1070.650701
13	1070.631156
14	1070.621651
15	1070.621083
16	1070.618225
17	1070.61664
18	1070.584219
19	1070.576302
20	1070.575825
21	1070.574717
22	1070.566933
23	1070.566189
24	1070.565281
25	1070.565016
26	1070.562421
27	1070.557464
28	1070.556301
29	1070.541452
30	1070.5414
31	1070.541203
32	1070.540352
33	1070.537651
34	1070.537027
35	1070.535618
36	1070.535247
37	1070.535073
38	1070.526436
39	1070.517715
40	1070.513961
41	1070.513581
42	1070.499654
43	1070.493327
44	1070.493214
45	1070.485776
46	1070.482775
47	1070.473474
48	1070.471858
49	1070.461039
50	1070.457224
51	1070.442959
52	1070.432671
53	1070.430607
54	1070.420384
55	1070.413652
56	1070.409813
57	1070.40468
58	1070.398042
59	1070.394541
60	1070.39203
61	1070.390413
62	1070.386514
63	1070.383052
64	1070.381434
65	1070.37939
66	1070.377322
67	1070.376032
68	1070.375357
69	1070.371924
70	1070.370106
71	1070.365516
72	1070.364057
73	1070.363711
74	1070.362087
75	1070.360151
76	1070.358896
77	1070.356896
78	1070.355884
79	1070.354889
80	1070.352316
81	1070.35139
82	1070.34967
83	1070.34836
84	1070.347396
85	1070.346385
86	1070.345843
87	1070.344678
88	1070.344042
89	1070.34323
90	1070.342868
91	1070.3427
92	1070.341967
93	1070.340756
94	1070.340157
95	1070.339834
96	1070.338744
97	1070.338277
98	1070.337558
99	1070.336617
100	1070.335939
101	1070.335133
102	1070.334935
103	1070.334346
104	1070.334192
105	1070.333875
106	1070.333685
107	1070.333034
108	1070.332634
109	1070.3323
110	1070.331956
111	1070.331826
112	1070.33147
113	1070.331376
114	1070.3312
115	1070.330424
116	1070.330338
117	1070.329918
118	1070.329802
119	1070.32937
120	1070.329243
121	1070.328692
122	1070.328465
123	1070.32843
124	1070.327913
125	1070.327875
126	1070.327507
127	1070.327144
128	1070.326778
129	1070.326287
130	1070.326006
131	1070.325737
132	1070.325605
133	1070.325373
134	1070.325097
135	1070.325029
136	1070.324828
137	1070.32463
138	1070.324229
139	1070.324057
140	1070.323842
141	1070.323596
142	1070.323487
143	1070.323442
144	1070.323171
145	1070.323082
146	1070.323027
147	1070.322988
148	1070.322761
149	1070.322667
150	1070.322412
151	1070.322177
152	1070.322124
153	1070.322108
154	1070.321891
155	1070.321827
156	1070.321648
157	1070.32161
158	1070.321526
159	1070.32126
160	1070.321171
161	1070.321152
162	1070.321102
163	1070.321079
164	1070.321058
165	1070.321033
166	1070.321009
167	1070.320983
168	1070.320961
169	1070.320885
170	1070.320753
171	1070.320735
172	1070.320479
173	1070.320461
174	1070.320276
175	1070.32011
176	1070.320093
177	1070.320081
178	1070.320007
179	1070.319886
180	1070.319868
181	1070.319714
182	1070.319705
183	1070.319695
184	1070.319628
185	1070.319612
186	1070.319511
187	1070.319505
188	1070.319495
189	1070.319405
190	1070.319389
191	1070.319276
192	1070.319271
193	1070.319166
194	1070.319122
195	1070.319004
196	1070.318994
197	1070.31899
198	1070.318989
199	1070.318977
