iter	Passed	Remaining
0	18	3739
1	36	3596
2	54	3553
3	71	3513
4	89	3489
5	106	3450
6	124	3426
7	141	3402
8	159	3394
9	177	3377
10	195	3356
11	212	3330
12	227	3275
13	245	3258
14	262	3239
15	279	3218
16	297	3199
17	314	3184
18	332	3165
19	349	3149
20	367	3133
21	385	3116
22	402	3099
23	421	3088
24	439	3073
25	456	3058
26	474	3043
27	494	3035
28	513	3027
29	532	3015
30	550	3002
31	569	2987
32	587	2971
33	605	2958
34	624	2942
35	642	2927
36	660	2910
37	678	2892
38	695	2873
39	713	2855
40	731	2837
41	749	2818
42	766	2799
43	785	2784
44	805	2775
45	825	2762
46	844	2750
47	863	2735
48	882	2721
49	902	2707
50	922	2696
51	941	2679
52	960	2662
53	978	2646
54	997	2628
55	1015	2610
56	1033	2592
57	1051	2573
58	1069	2554
59	1086	2535
60	1104	2517
61	1122	2498
62	1140	2479
63	1157	2459
64	1175	2440
65	1192	2421
66	1209	2401
67	1227	2383
68	1245	2363
69	1262	2344
70	1280	2326
71	1297	2307
72	1316	2289
73	1333	2270
74	1350	2251
75	1368	2232
76	1385	2213
77	1403	2195
78	1422	2178
79	1440	2160
80	1458	2142
81	1476	2125
82	1495	2107
83	1513	2090
84	1531	2071
85	1549	2054
86	1567	2036
87	1585	2018
88	1603	1999
89	1621	1981
90	1639	1963
91	1656	1944
92	1674	1926
93	1691	1907
94	1709	1888
95	1726	1870
96	1743	1851
97	1760	1832
98	1778	1814
99	1795	1795
100	1812	1776
101	1830	1758
102	1848	1740
103	1866	1722
104	1884	1704
105	1902	1687
106	1921	1670
107	1944	1656
108	1966	1641
109	1986	1625
110	2006	1609
111	2028	1593
112	2051	1579
113	2073	1564
114	2096	1549
115	2119	1534
116	2139	1517
117	2163	1503
118	2184	1487
119	2205	1470
120	2225	1453
121	2246	1436
122	2265	1418
123	2285	1400
124	2305	1383
125	2323	1364
126	2343	1347
127	2362	1328
128	2380	1310
129	2399	1292
130	2418	1273
131	2437	1255
132	2455	1237
133	2474	1218
134	2493	1200
135	2512	1182
136	2531	1164
137	2551	1146
138	2570	1127
139	2589	1109
140	2608	1091
141	2627	1073
142	2645	1054
143	2663	1035
144	2682	1017
145	2699	998
146	2718	980
147	2735	961
148	2753	942
149	2772	924
150	2790	905
151	2808	886
152	2826	868
153	2844	849
154	2863	831
155	2880	812
156	2898	793
157	2916	775
158	2934	756
159	2951	737
160	2969	719
161	2987	700
162	3004	681
163	3023	663
164	3041	645
165	3058	626
166	3076	607
167	3094	589
168	3112	570
169	3130	552
170	3148	533
171	3165	515
172	3183	496
173	3201	478
174	3219	459
175	3237	441
176	3255	422
177	3272	404
178	3290	386
179	3308	367
180	3326	349
181	3344	330
182	3362	312
183	3380	293
184	3398	275
185	3415	257
186	3433	238
187	3451	220
188	3469	201
189	3486	183
190	3504	165
191	3521	146
192	3539	128
193	3557	110
194	3574	91
195	3592	73
196	3610	54
197	3628	36
198	3646	18
199	3663	0
