iter	Passed	Remaining
0	19	3891
1	37	3678
2	55	3621
3	74	3638
4	93	3642
5	111	3619
6	130	3608
7	150	3603
8	169	3589
9	188	3573
10	208	3574
11	227	3560
12	247	3562
13	268	3566
14	289	3569
15	311	3576
16	332	3580
17	352	3566
18	373	3556
19	393	3540
20	412	3516
21	431	3489
22	450	3464
23	469	3440
24	488	3419
25	507	3399
26	527	3380
27	546	3357
28	565	3333
29	583	3308
30	602	3286
31	622	3270
32	642	3249
33	661	3231
34	681	3213
35	701	3196
36	721	3179
37	741	3159
38	759	3136
39	779	3118
40	799	3101
41	819	3081
42	841	3071
43	864	3064
44	886	3052
45	906	3034
46	926	3016
47	946	2996
48	965	2974
49	984	2954
50	1003	2930
51	1022	2909
52	1041	2887
53	1060	2867
54	1080	2847
55	1099	2826
56	1118	2805
57	1137	2785
58	1157	2765
59	1176	2745
60	1195	2724
61	1214	2703
62	1233	2682
63	1253	2662
64	1274	2646
65	1293	2626
66	1312	2606
67	1332	2586
68	1350	2564
69	1369	2543
70	1389	2524
71	1408	2503
72	1427	2484
73	1446	2463
74	1465	2443
75	1485	2423
76	1505	2404
77	1524	2384
78	1544	2365
79	1564	2346
80	1584	2327
81	1604	2308
82	1623	2288
83	1642	2268
84	1661	2248
85	1680	2227
86	1700	2208
87	1718	2187
88	1738	2167
89	1757	2147
90	1776	2127
91	1795	2107
92	1815	2088
93	1833	2068
94	1853	2048
95	1872	2028
96	1891	2008
97	1909	1987
98	1929	1968
99	1948	1948
100	1968	1929
101	1987	1909
102	2006	1889
103	2025	1869
104	2044	1850
105	2064	1830
106	2084	1811
107	2103	1792
108	2123	1772
109	2143	1753
110	2163	1734
111	2182	1714
112	2202	1695
113	2222	1676
114	2241	1656
115	2260	1637
116	2280	1617
117	2299	1598
118	2318	1578
119	2337	1558
120	2356	1538
121	2375	1518
122	2394	1499
123	2413	1479
124	2433	1459
125	2453	1440
126	2473	1421
127	2492	1402
128	2512	1382
129	2531	1362
130	2550	1343
131	2569	1323
132	2588	1304
133	2609	1285
134	2629	1265
135	2648	1246
136	2667	1226
137	2686	1207
138	2706	1187
139	2725	1168
140	2744	1148
141	2763	1128
142	2783	1109
143	2802	1089
144	2820	1070
145	2840	1050
146	2861	1031
147	2880	1012
148	2900	992
149	2919	973
150	2938	953
151	2957	934
152	2976	914
153	2997	895
154	3017	876
155	3037	856
156	3057	837
157	3077	818
158	3097	798
159	3115	778
160	3134	759
161	3154	739
162	3173	720
163	3193	700
164	3212	681
165	3231	661
166	3251	642
167	3271	623
168	3290	603
169	3309	583
170	3328	564
171	3348	545
172	3370	526
173	3391	506
174	3412	487
175	3433	468
176	3454	448
177	3476	429
178	3496	410
179	3516	390
180	3536	371
181	3555	351
182	3574	332
183	3593	312
184	3613	292
185	3633	273
186	3652	253
187	3671	234
188	3691	214
189	3709	195
190	3729	175
191	3747	156
192	3766	136
193	3785	117
194	3804	97
195	3823	78
196	3841	58
197	3860	38
198	3879	19
199	3898	0
