iter	Passed	Remaining
0	15	3019
1	32	3195
2	49	3228
3	65	3196
4	85	3324
5	104	3388
6	123	3407
7	141	3394
8	158	3367
9	176	3354
10	194	3342
11	211	3314
12	226	3264
13	244	3241
14	261	3224
15	278	3202
16	295	3181
17	312	3162
18	330	3152
19	349	3141
20	366	3123
21	384	3113
22	401	3093
23	419	3077
24	437	3059
25	454	3043
26	472	3027
27	490	3011
28	507	2995
29	525	2975
30	542	2958
31	560	2940
32	577	2923
33	595	2906
34	612	2888
35	630	2872
36	647	2854
37	665	2837
38	683	2819
39	701	2804
40	718	2786
41	735	2768
42	753	2749
43	771	2734
44	791	2725
45	810	2714
46	829	2700
47	848	2686
48	866	2671
49	886	2658
50	905	2645
51	924	2630
52	941	2612
53	959	2594
54	977	2576
55	994	2557
56	1013	2542
57	1032	2528
58	1051	2513
59	1069	2496
60	1087	2478
61	1105	2460
62	1122	2441
63	1140	2423
64	1158	2406
65	1177	2389
66	1194	2371
67	1213	2354
68	1230	2337
69	1251	2323
70	1270	2309
71	1289	2292
72	1308	2276
73	1326	2259
74	1345	2241
75	1364	2226
76	1382	2208
77	1400	2190
78	1418	2172
79	1436	2154
80	1454	2136
81	1471	2117
82	1489	2099
83	1505	2079
84	1523	2060
85	1540	2042
86	1558	2024
87	1577	2007
88	1594	1988
89	1613	1971
90	1630	1952
91	1648	1934
92	1666	1916
93	1683	1898
94	1702	1881
95	1719	1863
96	1738	1845
97	1757	1828
98	1776	1812
99	1796	1796
100	1814	1779
101	1833	1761
102	1850	1743
103	1869	1726
104	1888	1708
105	1905	1690
106	1923	1672
107	1941	1654
108	1959	1636
109	1978	1618
110	1995	1600
111	2013	1582
112	2031	1564
113	2049	1546
114	2068	1528
115	2085	1510
116	2103	1491
117	2121	1473
118	2139	1455
119	2156	1437
120	2174	1419
121	2193	1402
122	2211	1384
123	2229	1366
124	2248	1349
125	2266	1331
126	2284	1313
127	2301	1294
128	2319	1276
129	2336	1258
130	2354	1240
131	2372	1222
132	2390	1204
133	2411	1187
134	2429	1169
135	2448	1152
136	2467	1134
137	2486	1117
138	2505	1099
139	2525	1082
140	2543	1064
141	2562	1046
142	2579	1028
143	2597	1010
144	2614	991
145	2632	973
146	2650	955
147	2668	937
148	2687	920
149	2706	902
150	2723	883
151	2741	865
152	2760	847
153	2778	829
154	2796	811
155	2813	793
156	2831	775
157	2849	757
158	2867	739
159	2886	721
160	2904	703
161	2922	685
162	2939	667
163	2957	649
164	2975	631
165	2993	613
166	3011	595
167	3028	576
168	3046	558
169	3064	540
170	3082	522
171	3101	504
172	3119	486
173	3137	468
174	3156	450
175	3174	432
176	3192	414
177	3210	396
178	3228	378
179	3247	360
180	3266	342
181	3284	324
182	3302	306
183	3320	288
184	3337	270
185	3356	252
186	3374	234
187	3393	216
188	3411	198
189	3428	180
190	3446	162
191	3464	144
192	3481	126
193	3499	108
194	3516	90
195	3533	72
196	3551	54
197	3568	36
198	3587	18
199	3605	0
