iter	Passed	Remaining
0	17	3495
1	35	3511
2	53	3485
3	71	3513
4	90	3538
5	109	3528
6	128	3539
7	147	3531
8	166	3527
9	184	3509
10	203	3496
11	222	3485
12	242	3485
13	261	3474
14	281	3465
15	300	3451
16	319	3441
17	343	3474
18	363	3463
19	382	3446
20	401	3424
21	420	3400
22	438	3377
23	457	3355
24	476	3332
25	495	3315
26	514	3295
27	532	3274
28	552	3260
29	571	3240
30	591	3222
31	610	3204
32	629	3187
33	649	3169
34	667	3148
35	687	3133
36	708	3119
37	727	3101
38	747	3084
39	767	3068
40	787	3053
41	807	3036
42	829	3027
43	850	3013
44	870	2998
45	890	2981
46	910	2962
47	929	2944
48	949	2924
49	969	2907
50	988	2888
51	1007	2867
52	1027	2848
53	1046	2830
54	1066	2810
55	1085	2791
56	1104	2771
57	1123	2751
58	1143	2733
59	1163	2713
60	1182	2695
61	1202	2676
62	1221	2657
63	1241	2637
64	1260	2618
65	1279	2598
66	1300	2581
67	1320	2564
68	1340	2545
69	1361	2528
70	1382	2511
71	1403	2494
72	1424	2478
73	1444	2460
74	1464	2441
75	1483	2420
76	1502	2400
77	1522	2380
78	1540	2360
79	1559	2339
80	1578	2319
81	1597	2298
82	1618	2281
83	1641	2266
84	1661	2248
85	1680	2228
86	1700	2208
87	1720	2189
88	1739	2169
89	1759	2150
90	1777	2129
91	1797	2109
92	1816	2090
93	1836	2070
94	1855	2051
95	1874	2030
96	1894	2011
97	1913	1991
98	1933	1972
99	1952	1952
100	1971	1932
101	1990	1912
102	2009	1892
103	2028	1872
104	2048	1853
105	2067	1833
106	2086	1813
107	2105	1793
108	2124	1774
109	2144	1754
110	2164	1735
111	2183	1715
112	2202	1696
113	2222	1676
114	2242	1657
115	2261	1637
116	2280	1617
117	2299	1598
118	2319	1578
119	2338	1558
120	2357	1539
121	2376	1519
122	2395	1499
123	2414	1480
124	2434	1460
125	2454	1441
126	2473	1421
127	2493	1402
128	2511	1382
129	2530	1362
130	2550	1343
131	2570	1323
132	2589	1304
133	2608	1284
134	2627	1265
135	2647	1245
136	2666	1226
137	2685	1206
138	2705	1187
139	2725	1167
140	2744	1148
141	2763	1128
142	2783	1109
143	2801	1089
144	2820	1069
145	2839	1050
146	2859	1031
147	2879	1011
148	2901	993
149	2921	973
150	2941	954
151	2960	934
152	2979	915
153	2999	895
154	3018	876
155	3038	857
156	3058	837
157	3077	818
158	3097	798
159	3117	779
160	3136	759
161	3156	740
162	3177	721
163	3197	701
164	3218	682
165	3239	663
166	3261	644
167	3282	625
168	3302	605
169	3321	586
170	3341	566
171	3360	547
172	3379	527
173	3399	507
174	3418	488
175	3438	468
176	3457	449
177	3477	429
178	3496	410
179	3517	390
180	3537	371
181	3557	351
182	3576	332
183	3596	312
184	3616	293
185	3635	273
186	3655	254
187	3674	234
188	3693	214
189	3712	195
190	3732	175
191	3751	156
192	3771	136
193	3790	117
194	3809	97
195	3829	78
196	3848	58
197	3867	39
198	3887	19
199	3906	0
