iter	Passed	Remaining
0	17	3500
1	34	3382
2	50	3330
3	74	3649
4	97	3799
5	115	3746
6	134	3695
7	152	3663
8	170	3620
9	187	3569
10	205	3532
11	223	3499
12	241	3469
13	259	3445
14	274	3385
15	292	3362
16	310	3337
17	327	3309
18	346	3301
19	365	3287
20	384	3274
21	402	3254
22	425	3271
23	443	3252
24	463	3247
25	482	3225
26	499	3201
27	517	3178
28	534	3153
29	552	3130
30	570	3108
31	587	3084
32	604	3060
33	621	3035
34	638	3012
35	655	2988
36	673	2966
37	690	2943
38	707	2921
39	725	2903
40	743	2884
41	761	2865
42	779	2847
43	797	2826
44	815	2808
45	833	2791
46	852	2774
47	870	2756
48	888	2737
49	905	2717
50	923	2697
51	940	2676
52	958	2657
53	975	2638
54	993	2618
55	1010	2599
56	1028	2579
57	1045	2559
58	1062	2540
59	1080	2521
60	1097	2501
61	1115	2482
62	1133	2463
63	1150	2444
64	1168	2426
65	1185	2406
66	1202	2387
67	1220	2368
68	1237	2349
69	1254	2330
70	1271	2310
71	1289	2291
72	1306	2273
73	1324	2254
74	1342	2236
75	1360	2219
76	1378	2202
77	1396	2183
78	1415	2168
79	1434	2152
80	1454	2136
81	1474	2121
82	1493	2105
83	1512	2088
84	1531	2071
85	1549	2054
86	1568	2036
87	1586	2018
88	1603	1999
89	1620	1980
90	1637	1961
91	1655	1943
92	1672	1924
93	1689	1905
94	1706	1886
95	1723	1867
96	1740	1848
97	1758	1830
98	1777	1812
99	1795	1795
100	1813	1777
101	1832	1760
102	1850	1742
103	1868	1724
104	1885	1705
105	1902	1687
106	1919	1668
107	1937	1650
108	1954	1631
109	1971	1613
110	1989	1595
111	2007	1577
112	2024	1559
113	2042	1540
114	2059	1522
115	2077	1504
116	2094	1485
117	2112	1467
118	2129	1449
119	2146	1431
120	2163	1412
121	2181	1394
122	2198	1376
123	2215	1357
124	2232	1339
125	2250	1321
126	2267	1303
127	2285	1285
128	2302	1267
129	2319	1249
130	2336	1230
131	2353	1212
132	2370	1194
133	2387	1176
134	2404	1157
135	2423	1140
136	2440	1122
137	2457	1104
138	2475	1086
139	2491	1067
140	2509	1050
141	2526	1031
142	2543	1013
143	2560	995
144	2577	977
145	2594	959
146	2611	941
147	2628	923
148	2644	905
149	2661	887
150	2678	869
151	2695	851
152	2712	833
153	2730	815
154	2747	797
155	2764	779
156	2783	762
157	2801	744
158	2819	727
159	2838	709
160	2856	691
161	2874	674
162	2892	656
163	2910	638
164	2928	621
165	2946	603
166	2964	585
167	2981	567
168	2998	550
169	3015	532
170	3032	514
171	3050	496
172	3067	478
173	3084	460
174	3101	443
175	3116	424
176	3133	407
177	3150	389
178	3168	371
179	3186	354
180	3203	336
181	3221	318
182	3239	300
183	3257	283
184	3275	265
185	3293	247
186	3311	230
187	3329	212
188	3347	194
189	3365	177
190	3382	159
191	3400	141
192	3417	123
193	3435	106
194	3453	88
195	3471	70
196	3488	53
197	3505	35
198	3524	17
199	3542	0
