iter	RMSE
0	1116.114732
1	1115.753638
2	1115.633314
3	1115.564674
4	1115.501235
5	1114.506989
6	1114.394313
7	1114.345167
8	1113.990079
9	1113.967436
10	1113.917527
11	1113.905344
12	1113.869712
13	1113.841988
14	1113.822753
15	1110.361843
16	1110.328425
17	1110.319117
18	1110.301718
19	1110.262259
20	1110.026256
21	1108.18592
22	1108.172182
23	1108.171953
24	1108.136829
25	1108.1137
26	1108.096845
27	1108.091631
28	1108.08634
29	1108.078161
30	1107.990129
31	1107.975037
32	1107.968348
33	1107.328759
34	1107.323485
35	1106.772891
36	1106.763404
37	1106.751429
38	1106.747014
39	1106.726396
40	1105.800696
41	1105.792846
42	1105.760678
43	1105.698693
44	1105.561237
45	1105.104944
46	1105.052555
47	1105.009995
48	1104.226444
49	1104.076063
50	1104.011152
51	1103.865094
52	1103.788627
53	1103.694513
54	1103.625293
55	1103.591959
56	1103.475223
57	1103.458552
58	1103.410671
59	1102.926459
60	1102.851229
61	1102.788856
62	1102.751077
63	1102.465729
64	1102.320973
65	1102.053414
66	1101.890924
67	1101.835648
68	1101.753791
69	1101.728817
70	1101.677106
71	1101.570759
72	1101.560929
73	1101.468322
74	1101.441298
75	1101.426207
76	1101.391813
77	1101.344864
78	1101.184328
79	1101.128575
80	1101.088273
81	1101.068475
82	1101.046357
83	1100.991748
84	1100.971787
85	1100.877022
86	1100.867374
87	1100.825685
88	1100.816147
89	1100.79664
90	1100.766665
91	1100.743518
92	1100.718651
93	1100.700886
94	1100.689804
95	1100.679679
96	1100.673266
97	1100.656644
98	1100.640363
99	1100.625102
100	1100.60162
101	1100.596005
102	1100.586142
103	1100.564408
104	1100.549244
105	1100.538603
106	1100.53434
107	1100.507703
108	1100.490308
109	1100.483949
110	1100.471727
111	1100.466183
112	1100.460066
113	1100.443673
114	1100.435975
115	1100.413898
116	1100.4016
117	1100.39268
118	1100.372968
119	1100.369458
120	1100.325144
121	1100.309189
122	1100.276739
123	1100.260813
124	1100.250192
125	1100.233121
126	1100.223948
127	1100.221229
128	1100.151928
129	1100.14399
130	1100.13653
131	1100.126831
132	1100.08749
133	1100.073828
134	1100.06694
135	1100.060986
136	1100.052082
137	1100.007061
138	1099.995056
139	1099.981887
140	1099.965473
141	1099.958525
142	1099.905064
143	1099.895037
144	1099.876577
145	1099.872212
146	1099.86359
147	1099.856263
148	1099.842628
149	1099.836133
150	1099.830202
151	1099.82514
152	1099.822184
153	1099.800881
154	1099.785345
155	1099.753334
156	1099.719113
157	1099.710928
158	1099.700319
159	1099.696885
160	1099.679434
161	1099.577014
162	1099.560441
163	1099.543156
164	1099.521598
165	1099.518175
166	1099.504538
167	1099.49333
168	1099.48719
169	1099.483291
170	1099.453835
171	1099.449122
172	1099.444966
173	1099.442729
174	1099.440501
175	1099.438221
176	1099.432663
177	1099.419937
178	1099.412988
179	1099.403951
180	1099.401919
181	1099.393962
182	1099.37954
183	1099.360804
184	1099.355338
185	1099.351134
186	1099.345473
187	1099.318443
188	1099.305996
189	1099.301578
190	1099.291189
191	1099.283532
192	1099.271171
193	1099.208176
194	1099.196355
195	1099.188613
196	1099.179447
197	1099.172125
198	1099.14882
199	1099.146569
