iter	RMSE
0	1116.325272
1	1116.18388
2	1116.086596
3	1116.054181
4	1116.003641
5	1115.985528
6	1115.924204
7	1115.829123
8	1115.812584
9	1115.660463
10	1115.300767
11	1115.299167
12	1115.297493
13	1115.283576
14	1115.080316
15	1115.059185
16	1115.044781
17	1115.022583
18	1115.020092
19	1115.009433
20	1115.003301
21	1114.898638
22	1114.820668
23	1114.819097
24	1114.814538
25	1114.811986
26	1114.810682
27	1114.765358
28	1114.755087
29	1114.753506
30	1114.715381
31	1114.669213
32	1114.66709
33	1114.664
34	1114.65473
35	1114.645847
36	1114.626348
37	1114.604531
38	1114.602032
39	1114.593589
40	1114.592753
41	1114.587315
42	1114.567767
43	1114.554026
44	1114.548434
45	1114.521998
46	1114.501823
47	1114.489611
48	1114.480107
49	1114.463634
50	1114.437113
51	1114.410403
52	1114.398031
53	1114.36509
54	1114.353215
55	1114.334113
56	1114.323526
57	1114.318063
58	1114.303575
59	1114.291221
60	1114.258925
61	1114.251528
62	1114.236837
63	1114.218689
64	1114.211069
65	1114.199907
66	1114.191874
67	1114.179491
68	1114.178212
69	1114.166009
70	1114.162484
71	1114.154627
72	1114.135814
73	1114.131707
74	1114.123942
75	1114.122196
76	1114.102472
77	1114.098127
78	1114.087562
79	1114.082997
80	1114.076439
81	1114.069145
82	1114.06303
83	1114.057766
84	1114.054783
85	1114.046742
86	1114.037527
87	1114.034675
88	1114.027017
89	1114.01729
90	1114.009199
91	1114.008211
92	1114.007364
93	1114.003479
94	1114.000672
95	1113.998624
96	1113.996213
97	1113.991337
98	1113.987341
99	1113.98033
100	1113.975349
101	1113.966462
102	1113.962941
103	1113.961075
104	1113.958749
105	1113.956777
106	1113.954904
107	1113.953317
108	1113.95287
109	1113.951447
110	1113.950558
111	1113.949827
112	1113.946522
113	1113.943937
114	1113.941904
115	1113.940368
116	1113.939929
117	1113.938983
118	1113.936657
119	1113.935472
120	1113.933682
121	1113.932582
122	1113.927687
123	1113.926823
124	1113.922887
125	1113.921592
126	1113.918495
127	1113.917461
128	1113.916462
129	1113.916165
130	1113.913851
131	1113.911165
132	1113.909697
133	1113.908034
134	1113.905131
135	1113.903595
136	1113.903378
137	1113.901916
138	1113.900244
139	1113.899278
140	1113.896038
141	1113.892748
142	1113.89195
143	1113.89001
144	1113.887862
145	1113.885934
146	1113.885269
147	1113.883996
148	1113.88383
149	1113.883029
150	1113.881788
151	1113.879802
152	1113.879028
153	1113.876883
154	1113.876537
155	1113.875787
156	1113.875555
157	1113.874964
158	1113.874788
159	1113.874481
160	1113.872733
161	1113.872279
162	1113.870166
163	1113.869793
164	1113.8692
165	1113.868913
166	1113.868483
167	1113.868377
168	1113.867734
169	1113.866728
170	1113.865393
171	1113.864713
172	1113.864121
173	1113.862304
174	1113.86212
175	1113.861841
176	1113.860651
177	1113.860209
178	1113.860151
179	1113.858932
180	1113.857683
181	1113.857557
182	1113.857506
183	1113.856522
184	1113.856367
185	1113.855206
186	1113.855061
187	1113.854071
188	1113.853533
189	1113.853331
190	1113.853055
191	1113.852988
192	1113.852965
193	1113.85233
194	1113.852068
195	1113.851845
196	1113.851205
197	1113.850729
198	1113.850627
199	1113.849868
