iter	Passed	Remaining
0	16	3299
1	30	3032
2	45	2992
3	60	2971
4	75	2943
5	90	2930
6	105	2901
7	120	2881
8	134	2857
9	149	2845
10	165	2842
11	180	2833
12	193	2787
13	208	2775
14	223	2761
15	239	2749
16	254	2737
17	269	2723
18	284	2710
19	299	2699
20	315	2688
21	331	2682
22	346	2669
23	362	2656
24	376	2637
25	392	2629
26	407	2611
27	422	2595
28	437	2581
29	452	2564
30	467	2549
31	482	2534
32	498	2520
33	513	2509
34	528	2493
35	543	2477
36	558	2461
37	574	2447
38	589	2432
39	604	2417
40	619	2401
41	634	2385
42	649	2370
43	664	2354
44	678	2338
45	694	2324
46	709	2308
47	723	2291
48	737	2271
49	751	2254
50	766	2240
51	781	2223
52	792	2198
53	808	2185
54	824	2174
55	840	2162
56	857	2151
57	873	2139
58	889	2125
59	904	2111
60	921	2100
61	937	2086
62	953	2072
63	968	2058
64	983	2043
65	998	2027
66	1014	2013
67	1029	1997
68	1044	1982
69	1059	1967
70	1074	1951
71	1089	1936
72	1104	1920
73	1119	1905
74	1134	1890
75	1149	1875
76	1166	1862
77	1182	1849
78	1198	1835
79	1215	1822
80	1231	1809
81	1248	1796
82	1265	1784
83	1283	1772
84	1300	1759
85	1317	1745
86	1333	1732
87	1349	1718
88	1366	1704
89	1382	1689
90	1398	1675
91	1414	1660
92	1430	1646
93	1447	1632
94	1464	1618
95	1481	1604
96	1497	1590
97	1514	1576
98	1530	1561
99	1547	1547
100	1563	1532
101	1579	1517
102	1595	1502
103	1611	1487
104	1626	1471
105	1641	1456
106	1657	1440
107	1673	1425
108	1689	1410
109	1705	1395
110	1721	1380
111	1738	1365
112	1753	1350
113	1770	1335
114	1786	1320
115	1802	1304
116	1817	1289
117	1833	1274
118	1849	1258
119	1864	1243
120	1880	1227
121	1896	1212
122	1912	1197
123	1927	1181
124	1943	1165
125	1959	1150
126	1974	1135
127	1990	1119
128	2005	1104
129	2021	1088
130	2037	1073
131	2053	1057
132	2069	1042
133	2084	1026
134	2100	1011
135	2116	995
136	2132	980
137	2148	965
138	2164	950
139	2181	934
140	2197	919
141	2214	904
142	2231	889
143	2249	874
144	2268	860
145	2286	845
146	2305	831
147	2323	816
148	2341	801
149	2358	786
150	2376	771
151	2393	755
152	2410	740
153	2427	725
154	2445	709
155	2461	694
156	2479	678
157	2495	663
158	2511	647
159	2527	631
160	2543	616
161	2560	600
162	2576	584
163	2592	569
164	2609	553
165	2625	537
166	2642	522
167	2659	506
168	2676	490
169	2693	475
170	2709	459
171	2726	443
172	2743	428
173	2759	412
174	2775	396
175	2791	380
176	2807	364
177	2823	348
178	2840	333
179	2857	317
180	2873	301
181	2889	285
182	2905	269
183	2921	254
184	2937	238
185	2953	222
186	2969	206
187	2985	190
188	3002	174
189	3018	158
190	3033	142
191	3050	127
192	3066	111
193	3082	95
194	3098	79
195	3115	63
196	3131	47
197	3147	31
198	3163	15
199	3179	0
