iter	RMSE
0	1152.77525
1	1090.839623
2	1054.1513
3	1032.12584
4	1018.711687
5	1010.983928
6	1006.659394
7	1003.752783
8	1002.109896
9	1001.189747
10	1000.690447
11	1000.26779
12	1000.043328
13	999.8475208
14	999.7218302
15	999.6735822
16	999.6281244
17	999.6000353
18	999.5897503
19	999.5854674
20	999.5782954
21	999.5663218
22	999.5611567
23	999.5576028
24	999.5532632
25	999.5468009
26	999.5265397
27	999.5183816
28	999.5121124
29	999.5085389
30	999.506491
31	999.5015609
32	999.4985546
33	999.4846759
34	999.4830958
35	999.4828798
36	999.4826168
37	999.481556
38	999.4746103
39	999.4721317
40	999.4630773
41	999.4608715
42	999.4606272
43	999.4603253
44	999.4595396
45	999.4572446
46	999.455164
47	999.448556
48	999.4471585
49	999.4441855
50	999.4306193
51	999.4227652
52	999.4160304
53	999.4112336
54	999.4063433
55	999.4023262
56	999.3958605
57	999.3920168
58	999.3874677
59	999.3823157
60	999.3791243
61	999.3762579
62	999.3741848
63	999.3722866
64	999.3689559
65	999.3668489
66	999.3655613
67	999.3643878
68	999.3623587
69	999.3610205
70	999.3596723
71	999.3587886
72	999.3575151
73	999.3569376
74	999.3561553
75	999.3552279
76	999.3540347
77	999.3531704
78	999.352355
79	999.35176
80	999.3511872
81	999.3504886
82	999.3500882
83	999.3497175
84	999.3492445
85	999.3487884
86	999.3485563
87	999.3482594
88	999.3479887
89	999.3478101
90	999.3473612
91	999.3469043
92	999.3466597
93	999.3465594
94	999.3462987
95	999.346147
96	999.3460097
97	999.3457584
98	999.3453414
99	999.345046
100	999.3449062
101	999.344624
102	999.3444221
103	999.3441502
104	999.3438481
105	999.3436518
106	999.3434753
107	999.3434257
108	999.3433222
109	999.3432172
110	999.3430474
111	999.3427872
112	999.3426003
113	999.3424355
114	999.3422829
115	999.3422177
116	999.3421218
117	999.3420172
118	999.3419807
119	999.3419115
120	999.3417563
121	999.3416786
122	999.3415784
123	999.34155
124	999.34144
125	999.3413408
126	999.3412427
127	999.3411379
128	999.3410944
129	999.3410072
130	999.3409837
131	999.3409056
132	999.3408483
133	999.3407945
134	999.3407717
135	999.3407273
136	999.3406345
137	999.3405779
138	999.3405198
139	999.3404677
140	999.3404179
141	999.340374
142	999.3403393
143	999.3402946
144	999.3402392
145	999.3401854
146	999.340145
147	999.3401149
148	999.3400947
149	999.3400724
150	999.3400449
151	999.3400041
152	999.3399741
153	999.3399663
154	999.3399373
155	999.3399088
156	999.3398751
157	999.339859
158	999.3398264
159	999.3398066
160	999.3397903
161	999.3397577
162	999.3397477
163	999.3397437
164	999.3397212
165	999.3397003
166	999.3396822
167	999.339665
168	999.3396501
169	999.3396221
170	999.3396022
171	999.339585
172	999.3395668
173	999.3395573
174	999.3395363
175	999.3395201
176	999.3395112
177	999.339502
178	999.3394836
179	999.3394701
180	999.3394647
181	999.3394631
182	999.3394556
183	999.3394461
184	999.3394257
185	999.3394127
186	999.3394067
187	999.3393993
188	999.3393928
189	999.3393789
190	999.3393735
191	999.3393604
192	999.3393394
193	999.3393256
194	999.3393189
195	999.3393123
196	999.3393007
197	999.3392927
198	999.339276
199	999.3392709
