iter	RMSE
0	1113.75542
1	1113.500379
2	1113.326741
3	1113.256169
4	1112.684368
5	1112.654163
6	1111.82498
7	1111.810844
8	1111.089954
9	1107.90665
10	1107.857558
11	1106.73003
12	1106.649222
13	1106.643102
14	1106.637575
15	1106.62702
16	1106.560633
17	1106.551264
18	1106.545054
19	1106.530563
20	1104.61231
21	1102.113905
22	1091.048141
23	1091.048129
24	1091.035407
25	1086.761738
26	1086.530176
27	1086.529435
28	1086.523076
29	1086.523072
30	1086.505417
31	1086.504938
32	1086.405314
33	1086.404138
34	1084.709334
35	1078.925733
36	1040.988777
37	1040.944723
38	1040.084716
39	1039.997814
40	1039.993845
41	1039.817521
42	1039.692302
43	1039.17839
44	1038.344652
45	1004.225663
46	973.6689238
47	968.8148703
48	941.3300047
49	916.8290869
50	895.0179199
51	875.6409694
52	871.6041949
53	868.6055666
54	851.2667006
55	835.9143944
56	833.5926772
57	819.9189485
58	807.8661378
59	806.0292273
60	795.3970961
61	793.9649782
62	793.9323667
63	784.5706099
64	783.4857168
65	783.0257817
66	782.6723755
67	782.4880686
68	782.4451092
69	781.5798219
70	773.3555193
71	773.2035682
72	765.9946846
73	759.6826225
74	759.0762699
75	753.5073552
76	752.9648545
77	752.8755623
78	752.2895023
79	747.4108059
80	747.0732376
81	746.6120933
82	746.2919977
83	742.0290416
84	741.6009125
85	741.3590132
86	740.5206882
87	739.8920389
88	739.5695103
89	739.2329901
90	739.0789263
91	738.7817561
92	738.7240994
93	735.5847664
94	735.2048938
95	734.7105725
96	733.8771333
97	733.4302727
98	730.9280121
99	730.588798
100	730.3682114
101	730.19914
102	730.175013
103	729.8130089
104	729.6532412
105	729.3127651
106	728.6772513
107	728.5046751
108	728.1847402
109	727.96603
110	727.2709436
111	725.2617999
112	725.2376925
113	724.7725485
114	723.9949038
115	723.5260535
116	723.0920163
117	723.0752215
118	722.6693783
119	718.4023173
120	718.358321
121	716.7432266
122	716.5231301
123	716.2829633
124	712.9233583
125	712.4267162
126	712.3791082
127	712.0184815
128	709.087093
129	709.007234
130	708.6360086
131	706.080721
132	705.8089911
133	705.6663283
134	705.5252966
135	703.2984416
136	703.2085697
137	703.0394996
138	702.892684
139	702.7408778
140	702.4717702
141	702.0290264
142	699.6464681
143	699.1588509
144	699.1415361
145	698.7579971
146	697.4418468
147	697.3935678
148	697.0650215
149	696.9785373
150	696.7805744
151	696.7714004
152	696.7263802
153	696.6163935
154	696.5839221
155	696.5499098
156	696.4443951
157	694.7435622
158	694.6341376
159	694.4502636
160	694.2330667
161	694.141895
162	693.8673866
163	693.7989777
164	693.7571944
165	693.517056
166	693.2800648
167	693.2342786
168	693.2086682
169	691.7096969
170	691.5031431
171	691.3258243
172	691.1685535
173	691.0553745
174	690.9481159
175	690.8579267
176	690.8236574
177	690.2797083
178	690.1388832
179	690.1191605
180	689.9245795
181	689.9058982
182	689.8031709
183	689.6937424
184	689.3712456
185	689.3564136
186	689.2625736
187	689.2307895
188	689.1636093
189	689.040324
190	689.0019989
191	688.7471141
192	688.6202387
193	688.5907115
194	688.5240906
195	688.2534132
196	687.9692212
197	686.6702901
198	685.5410873
199	684.5595605
