iter	Passed	Remaining
0	20	4028
1	38	3840
2	56	3685
3	75	3691
4	95	3726
5	114	3704
6	133	3684
7	155	3723
8	178	3788
9	201	3826
10	221	3801
11	240	3761
12	258	3725
13	276	3670
14	294	3633
15	312	3599
16	331	3566
17	349	3537
18	368	3509
19	387	3488
20	406	3467
21	425	3445
22	445	3427
23	454	3333
24	473	3314
25	492	3295
26	511	3274
27	527	3242
28	546	3224
29	556	3151
30	574	3133
31	587	3082
32	607	3071
33	625	3052
34	645	3041
35	664	3028
36	684	3015
37	704	3003
38	724	2989
39	743	2975
40	763	2962
41	784	2950
42	805	2941
43	826	2928
44	846	2915
45	871	2916
46	895	2914
47	917	2903
48	938	2893
49	959	2878
50	979	2862
51	1000	2846
52	1020	2831
53	1041	2815
54	1060	2797
55	1080	2777
56	1099	2758
57	1119	2740
58	1138	2720
59	1156	2699
60	1175	2679
61	1193	2657
62	1213	2638
63	1232	2618
64	1251	2598
65	1272	2582
66	1292	2565
67	1311	2546
68	1331	2527
69	1349	2506
70	1368	2486
71	1387	2466
72	1403	2442
73	1420	2419
74	1439	2399
75	1459	2381
76	1478	2362
77	1498	2343
78	1519	2326
79	1541	2311
80	1563	2297
81	1586	2282
82	1607	2265
83	1627	2247
84	1646	2227
85	1665	2208
86	1685	2189
87	1704	2169
88	1723	2149
89	1743	2130
90	1762	2110
91	1780	2090
92	1799	2070
93	1818	2051
94	1838	2031
95	1858	2013
96	1877	1994
97	1897	1975
98	1916	1955
99	1936	1936
100	1955	1916
101	1974	1896
102	1993	1877
103	2012	1857
104	2032	1838
105	2051	1819
106	2070	1799
107	2089	1779
108	2108	1760
109	2127	1740
110	2146	1721
111	2166	1702
112	2185	1682
113	2204	1662
114	2223	1643
115	2242	1623
116	2261	1603
117	2280	1584
118	2299	1564
119	2318	1545
120	2336	1525
121	2355	1506
122	2375	1487
123	2395	1468
124	2415	1449
125	2434	1429
126	2453	1410
127	2472	1390
128	2491	1371
129	2511	1352
130	2532	1333
131	2551	1314
132	2570	1294
133	2589	1275
134	2608	1255
135	2627	1236
136	2647	1217
137	2665	1197
138	2684	1178
139	2703	1158
140	2722	1139
141	2741	1119
142	2761	1100
143	2781	1081
144	2801	1062
145	2820	1043
146	2840	1023
147	2858	1004
148	2877	984
149	2896	965
150	2914	945
151	2934	926
152	2952	906
153	2972	887
154	2991	868
155	3011	849
156	3032	830
157	3053	811
158	3072	792
159	3091	772
160	3110	753
161	3129	733
162	3147	714
163	3167	695
164	3186	675
165	3205	656
166	3224	637
167	3242	617
168	3261	598
169	3279	578
170	3298	559
171	3317	540
172	3336	520
173	3356	501
174	3375	482
175	3395	462
176	3414	443
177	3435	424
178	3454	405
179	3474	386
180	3493	366
181	3513	347
182	3532	328
183	3552	308
184	3571	289
185	3590	270
186	3609	250
187	3628	231
188	3647	212
189	3666	192
190	3686	173
191	3706	154
192	3725	135
193	3744	115
194	3762	96
195	3781	77
196	3800	57
197	3819	38
198	3838	19
199	3856	0
