iter	RMSE
0	1116.229332
1	1115.91376
2	1109.630855
3	1107.062361
4	1106.602525
5	1105.144872
6	1101.999078
7	1101.880029
8	1101.260053
9	1062.168248
10	1061.628214
11	1059.485546
12	1059.002088
13	1057.289241
14	1056.894035
15	1054.998695
16	1053.380034
17	1053.029926
18	1051.622009
19	1050.360281
20	1049.223199
21	1048.955765
22	1042.239346
23	1042.021482
24	1006.206382
25	1005.390302
26	1005.350882
27	1001.234711
28	1000.298047
29	998.4783459
30	997.7205974
31	997.2664763
32	997.2663977
33	997.1128328
34	996.7502445
35	996.7190657
36	994.8438978
37	994.7168965
38	994.3091077
39	994.1562848
40	992.6248387
41	990.7111684
42	990.4085128
43	957.6001321
44	949.5230347
45	947.9757311
46	941.4837078
47	941.3008863
48	937.4371155
49	907.5344985
50	880.8015687
51	877.5654598
52	853.7750726
53	853.4972802
54	853.4115705
55	850.8455144
56	850.7534572
57	850.725735
58	850.190843
59	828.8375
60	827.6735148
61	823.9769877
62	808.8970514
63	805.9244446
64	805.71478
65	805.5491476
66	805.4268638
67	804.9066655
68	804.7585699
69	804.5034119
70	803.026603
71	802.9354948
72	802.0600581
73	784.3242983
74	783.7468362
75	783.7255824
76	781.775582
77	766.0125107
78	765.9391462
79	751.9745774
80	751.1674251
81	750.6930189
82	750.28135
83	737.9190747
84	737.7518632
85	737.1249215
86	731.8988181
87	721.777066
88	721.1873443
89	720.9059719
90	720.0944009
91	717.457911
92	708.3533057
93	708.0724879
94	707.1497639
95	705.921186
96	697.8954596
97	696.8577041
98	696.7600596
99	689.8130462
100	687.6360808
101	687.5837485
102	687.5290822
103	685.7916141
104	684.8768109
105	684.3532217
106	683.5429002
107	683.4526881
108	682.0491295
109	681.844176
110	681.5739221
111	680.1718733
112	673.8852578
113	668.3765409
114	668.3005662
115	667.5544252
116	662.8157326
117	662.6820317
118	662.3171827
119	658.086185
120	657.0566083
121	656.9190256
122	656.8391303
123	656.776611
124	656.3222355
125	655.8991378
126	654.7479777
127	653.0084381
128	652.6611867
129	652.2651165
130	651.9174303
131	651.5274462
132	651.4010687
133	651.3316302
134	651.0966443
135	651.0700331
136	651.0388944
137	649.9548337
138	649.5905693
139	649.5711249
140	649.3402357
141	648.479116
142	644.7290054
143	643.9053279
144	643.555843
145	642.5106226
146	642.0489574
147	641.1868443
148	641.0175419
149	640.8563307
150	640.5741732
151	639.9243343
152	639.4112719
153	639.3987212
154	638.6939404
155	638.6014329
156	638.2681659
157	638.1455454
158	634.8389223
159	634.5684164
160	634.4971245
161	634.4210241
162	634.3527007
163	634.2834342
164	634.2178069
165	634.035633
166	633.3033565
167	632.1151523
168	631.1852898
169	630.9854277
170	630.5516886
171	630.4140579
172	629.6813356
173	629.5961833
174	629.5222603
175	628.9570439
176	628.4870021
177	628.3805597
178	628.3251797
179	627.8186318
180	627.6798007
181	627.5964655
182	627.5745639
183	627.554177
184	627.4381416
185	626.8703023
186	626.6034438
187	626.3901609
188	625.8986761
189	625.5595969
190	625.4485792
191	624.9288918
192	624.6355913
193	624.5677786
194	624.4375276
195	620.8693987
196	620.828905
197	620.4406019
198	620.4314297
199	619.8288893
