iter	Passed	Remaining
0	17	3383
1	34	3383
2	51	3392
3	69	3420
4	87	3395
5	105	3404
6	124	3422
7	142	3426
8	161	3436
9	183	3485
10	202	3479
11	221	3474
12	241	3468
13	259	3451
14	279	3442
15	298	3430
16	317	3416
17	336	3403
18	355	3385
19	374	3368
20	393	3350
21	411	3332
22	431	3320
23	450	3305
24	469	3289
25	489	3273
26	507	3251
27	526	3233
28	545	3214
29	563	3195
30	585	3190
31	606	3184
32	626	3170
33	648	3168
34	669	3155
35	689	3140
36	709	3127
37	730	3112
38	749	3095
39	769	3077
40	789	3062
41	810	3047
42	832	3040
43	855	3033
44	876	3018
45	896	3000
46	916	2982
47	934	2959
48	953	2939
49	972	2917
50	991	2897
51	1010	2876
52	1030	2856
53	1050	2841
54	1072	2827
55	1093	2811
56	1113	2793
57	1132	2773
58	1151	2752
59	1170	2731
60	1189	2709
61	1208	2689
62	1227	2669
63	1246	2648
64	1266	2629
65	1285	2610
66	1304	2589
67	1323	2569
68	1342	2549
69	1361	2528
70	1381	2510
71	1400	2490
72	1420	2471
73	1439	2450
74	1458	2431
75	1478	2411
76	1497	2391
77	1516	2372
78	1537	2354
79	1555	2333
80	1575	2313
81	1610	2317
82	1632	2301
83	1650	2279
84	1669	2258
85	1686	2235
86	1704	2214
87	1723	2193
88	1742	2173
89	1761	2152
90	1779	2131
91	1798	2110
92	1816	2090
93	1835	2070
94	1854	2049
95	1873	2029
96	1891	2008
97	1910	1988
98	1929	1968
99	1947	1947
100	1968	1929
101	1988	1910
102	2010	1892
103	2030	1873
104	2049	1854
105	2068	1834
106	2086	1813
107	2104	1793
108	2123	1773
109	2143	1753
110	2161	1733
111	2180	1713
112	2200	1693
113	2219	1674
114	2239	1655
115	2258	1635
116	2277	1615
117	2297	1596
118	2316	1576
119	2335	1556
120	2354	1537
121	2373	1517
122	2393	1498
123	2412	1478
124	2432	1459
125	2451	1439
126	2470	1419
127	2489	1400
128	2509	1381
129	2529	1362
130	2549	1342
131	2568	1323
132	2588	1303
133	2607	1284
134	2626	1264
135	2646	1245
136	2665	1225
137	2684	1205
138	2702	1186
139	2721	1166
140	2740	1146
141	2759	1126
142	2777	1107
143	2795	1087
144	2814	1067
145	2834	1048
146	2854	1029
147	2875	1010
148	2896	991
149	2917	972
150	2938	953
151	2958	934
152	2978	914
153	2998	895
154	3018	876
155	3037	856
156	3056	837
157	3076	817
158	3095	798
159	3114	778
160	3133	759
161	3152	739
162	3171	719
163	3191	700
164	3211	681
165	3230	661
166	3250	642
167	3269	622
168	3289	603
169	3308	583
170	3328	564
171	3348	545
172	3368	525
173	3387	506
174	3407	486
175	3425	467
176	3446	447
177	3465	428
178	3485	408
179	3504	389
180	3524	369
181	3543	350
182	3562	330
183	3581	311
184	3600	291
185	3619	272
186	3638	252
187	3657	233
188	3675	213
189	3695	194
190	3714	175
191	3734	155
192	3753	136
193	3772	116
194	3792	97
195	3812	77
196	3831	58
197	3851	38
198	3870	19
199	3889	0
