iter	Passed	Remaining
0	68	13613
1	79	7846
2	98	6456
3	115	5672
4	134	5229
5	151	4896
6	169	4674
7	186	4486
8	205	4351
9	225	4280
10	245	4220
11	265	4158
12	285	4111
13	303	4037
14	323	3985
15	341	3931
16	360	3878
17	378	3831
18	397	3786
19	416	3746
20	434	3702
21	452	3662
22	471	3627
23	489	3592
24	508	3558
25	527	3528
26	545	3496
27	564	3466
28	582	3436
29	601	3410
30	620	3381
31	638	3351
32	657	3325
33	675	3299
34	695	3279
35	715	3257
36	733	3233
37	753	3213
38	773	3191
39	792	3169
40	811	3148
41	831	3128
42	851	3109
43	872	3092
44	890	3068
45	910	3049
46	930	3029
47	950	3010
48	972	2996
49	993	2979
50	1010	2953
51	1032	2938
52	1052	2919
53	1072	2898
54	1092	2880
55	1112	2859
56	1131	2838
57	1153	2823
58	1173	2805
59	1193	2784
60	1213	2765
61	1232	2743
62	1251	2722
63	1274	2708
64	1293	2687
65	1313	2666
66	1332	2644
67	1350	2622
68	1369	2600
69	1390	2581
70	1410	2562
71	1430	2542
72	1449	2521
73	1470	2503
74	1494	2491
75	1515	2472
76	1535	2452
77	1555	2433
78	1574	2412
79	1595	2392
80	1617	2376
81	1637	2356
82	1657	2335
83	1676	2314
84	1695	2293
85	1713	2271
86	1733	2251
87	1752	2230
88	1770	2208
89	1789	2187
90	1808	2166
91	1827	2145
92	1846	2124
93	1864	2102
94	1883	2081
95	1901	2060
96	1921	2039
97	1939	2018
98	1958	1998
99	1977	1977
100	1996	1957
101	2016	1936
102	2035	1916
103	2053	1895
104	2073	1876
105	2092	1855
106	2112	1836
107	2132	1816
108	2151	1796
109	2170	1775
110	2189	1755
111	2208	1735
112	2227	1714
113	2245	1694
114	2265	1674
115	2284	1654
116	2303	1633
117	2322	1613
118	2341	1593
119	2360	1573
120	2379	1553
121	2397	1533
122	2416	1513
123	2436	1493
124	2455	1473
125	2474	1453
126	2493	1433
127	2512	1413
128	2531	1393
129	2550	1373
130	2569	1353
131	2588	1333
132	2607	1313
133	2627	1294
134	2646	1274
135	2666	1254
136	2685	1234
137	2704	1214
138	2723	1195
139	2742	1175
140	2761	1155
141	2780	1135
142	2799	1116
143	2818	1096
144	2838	1076
145	2857	1056
146	2878	1037
147	2899	1018
148	2919	999
149	2939	979
150	2958	960
151	2977	940
152	2996	920
153	3015	900
154	3036	881
155	3056	861
156	3075	842
157	3095	822
158	3116	803
159	3135	783
160	3153	763
161	3172	744
162	3191	724
163	3210	704
164	3229	685
165	3249	665
166	3267	645
167	3284	625
168	3306	606
169	3325	586
170	3343	567
171	3363	547
172	3383	528
173	3404	508
174	3425	489
175	3444	469
176	3464	450
177	3484	430
178	3505	411
179	3524	391
180	3544	372
181	3564	352
182	3584	332
183	3603	313
184	3622	293
185	3640	274
186	3659	254
187	3678	234
188	3698	215
189	3717	195
190	3736	176
191	3756	156
192	3776	136
193	3794	117
194	3813	97
195	3832	78
196	3851	58
197	3870	39
198	3889	19
199	3909	0
