iter	RMSE
0	1115.748743
1	1113.005746
2	1112.132313
3	1111.738239
4	1111.342605
5	1108.810037
6	1083.021544
7	1081.23719
8	1051.942145
9	1051.646847
10	1051.331594
11	1050.793481
12	1049.258559
13	1041.206479
14	1007.739475
15	1007.436839
16	1006.493875
17	1006.294088
18	1004.947122
19	1004.728042
20	1004.480374
21	1001.411419
22	1000.842473
23	1000.208196
24	997.8262755
25	967.627971
26	967.5852026
27	967.103098
28	966.3299926
29	960.7851765
30	957.2622905
31	957.1367035
32	956.9044703
33	956.8164747
34	954.6218921
35	953.1089886
36	952.8530161
37	951.1439091
38	950.8569469
39	930.1350133
40	930.0472136
41	928.0923561
42	926.0378891
43	925.7378408
44	901.3584322
45	900.7217263
46	899.4892448
47	899.2229712
48	899.0644191
49	898.2746448
50	898.044345
51	887.1427574
52	885.6013444
53	885.2504717
54	863.1126629
55	850.1619076
56	849.9213047
57	849.699728
58	847.7589943
59	847.1616813
60	847.0859055
61	827.0402571
62	826.4323696
63	826.3075971
64	825.2882012
65	825.2307441
66	811.0354781
67	808.2079212
68	798.8637512
69	797.6923034
70	797.347891
71	796.067117
72	783.1327696
73	772.0702611
74	771.8589695
75	770.611863
76	762.1195503
77	760.8321975
78	760.2680571
79	760.1002132
80	750.1206381
81	749.1506521
82	737.7900651
83	736.9030168
84	736.8276729
85	736.425057
86	736.0192598
87	727.1404321
88	727.0593966
89	726.4643019
90	718.6950191
91	718.1125747
92	711.26698
93	705.2721453
94	704.4977969
95	703.827408
96	703.0140865
97	702.8159871
98	697.5312437
99	696.3188206
100	695.7565185
101	695.6662371
102	694.3742674
103	693.6252331
104	693.4131943
105	692.8182695
106	692.5763563
107	692.4039827
108	687.7592384
109	687.5482376
110	683.521219
111	683.3702461
112	683.2317507
113	681.0437408
114	680.8088987
115	665.8106282
116	665.4135776
117	665.0071686
118	663.9904121
119	663.601002
120	663.5310659
121	662.6113547
122	660.4737101
123	660.4079502
124	659.5185409
125	658.5717621
126	657.8187733
127	657.6065226
128	650.8441286
129	650.457256
130	649.6980262
131	648.3810762
132	648.1384791
133	644.702115
134	644.0156423
135	643.7708532
136	643.3029126
137	643.1527203
138	632.7570879
139	632.5253794
140	632.3982133
141	631.9600542
142	631.2264385
143	630.9382292
144	630.4553079
145	630.3827374
146	629.9457569
147	626.8865756
148	626.5954843
149	626.1518358
150	625.2938952
151	624.8436204
152	624.3830229
153	624.2750182
154	612.9212
155	612.5624873
156	612.1581734
157	612.0710054
158	611.9532658
159	611.6979738
160	611.22757
161	610.4571807
162	608.3671225
163	607.9693698
164	607.7398166
165	606.8644232
166	606.7723029
167	606.7537309
168	606.0610939
169	595.8346554
170	595.5147106
171	595.2511746
172	594.9797255
173	594.9245671
174	594.1270829
175	587.2234627
176	578.8283912
177	578.5896989
178	577.7065398
179	577.5499852
180	576.9635117
181	576.6541329
182	575.5016789
183	574.9327046
184	574.7567762
185	574.6305566
186	574.5592496
187	573.7238095
188	573.5575315
189	573.3462903
190	573.3068864
191	573.1955393
192	572.8300455
193	572.6215456
194	572.5145369
195	572.2708648
196	571.7837103
197	568.877505
198	561.73197
199	559.156615
