iter	RMSE
0	1115.619889
1	1112.998924
2	1112.171414
3	1110.881313
4	1110.266703
5	1109.781481
6	1109.126404
7	1108.831963
8	1108.422745
9	1105.251445
10	1104.672126
11	1102.133304
12	1100.151169
13	1099.204449
14	1098.910622
15	1096.735455
16	1096.508937
17	1095.198199
18	1094.892623
19	1093.161058
20	1093.010545
21	1052.982637
22	1046.864423
23	1046.150677
24	1044.999779
25	1042.841569
26	1041.631434
27	1041.413939
28	1039.441359
29	1039.321334
30	1038.833232
31	1037.459405
32	1002.087953
33	1000.759665
34	975.9937593
35	975.7181086
36	975.1315013
37	974.042606
38	972.2307115
39	970.548817
40	970.331256
41	941.0097081
42	940.5477131
43	940.3744762
44	939.4050662
45	938.4773597
46	912.2138531
47	911.2325786
48	910.767386
49	909.4156976
50	908.2454937
51	884.4683152
52	884.3327387
53	884.0511765
54	883.5512671
55	882.7718549
56	882.6482624
57	882.5571986
58	875.1341664
59	853.7532407
60	834.7496205
61	817.8929102
62	802.9703291
63	802.8275137
64	801.335104
65	790.9706384
66	790.3128679
67	778.3123491
68	777.543089
69	776.0375522
70	774.4715639
71	763.8484893
72	748.6573512
73	735.2359592
74	723.3923965
75	722.2417752
76	711.7888091
77	702.5904042
78	694.5023418
79	687.4075211
80	681.187662
81	675.7390365
82	674.8059152
83	674.4565189
84	669.6826396
85	659.0083102
86	649.591109
87	649.0203435
88	648.8529266
89	648.7362834
90	648.5164389
91	647.3827063
92	646.2675873
93	637.9453069
94	637.526
95	637.017268
96	632.6274984
97	625.2616357
98	624.9024841
99	623.5364247
100	622.1978235
101	618.2969259
102	614.8902918
103	613.8789778
104	612.8169976
105	609.8337821
106	608.8210506
107	602.1830618
108	600.9082535
109	595.0762876
110	594.178071
111	593.0198806
112	587.8934779
113	585.1933409
114	585.0857701
115	584.2981506
116	583.1943442
117	580.831727
118	580.0500233
119	579.4941969
120	574.9412007
121	570.959345
122	570.2630315
123	569.8455991
124	567.7464732
125	564.2590822
126	564.0735022
127	563.764755
128	563.1331688
129	563.0168496
130	562.4281877
131	562.16552
132	560.9027157
133	560.7846445
134	560.6178545
135	560.2176263
136	559.6358291
137	559.5217641
138	558.9030934
139	557.9374423
140	557.6758717
141	557.558881
142	557.4217725
143	557.2442001
144	557.1908105
145	557.1013525
146	556.8036842
147	556.7401437
148	556.2392045
149	556.1619526
150	555.7297433
151	555.3168602
152	555.0755132
153	554.6504699
154	554.452027
155	554.0844886
156	553.6829863
157	553.5519361
158	553.2284198
159	553.1538092
160	552.9434562
161	552.7499788
162	552.2226989
163	551.9116752
164	548.7864422
165	548.5378668
166	548.2122084
167	548.1379801
168	547.9966132
169	547.864623
170	547.7685218
171	547.0513442
172	546.0963828
173	545.7435932
174	544.6953649
175	544.1798912
176	543.9470289
177	542.0299364
178	539.2686404
179	538.796903
180	538.737
181	538.6502838
182	537.7556255
183	537.691853
184	535.2758979
185	535.1829881
186	534.9711769
187	534.8444232
188	534.2287302
189	533.2453319
190	533.0328648
191	532.7770367
192	532.6637629
193	532.4887466
194	532.4299584
195	531.8106053
196	531.6924258
197	529.4387928
198	529.1699894
199	528.2752749
